id,spanish,example_es,example_en,mood,tense
1,el ejército,El ejército defendió la frontera durante la guerra.,The army defended the border during the war.,,
2,el aviso,Leí el aviso en la puerta de la oficina.,I read the notice on the office door.,,
3,egoísta,Mi hermano es muy egoísta y nunca comparte su comida.,My brother is very selfish and never shares his food.,,
4,inolvidable,Nuestro viaje a México fue una experiencia inolvidable.,Our trip to Mexico was an unforgettable experience.,,
5,la cancha,Los niños juegan al básquetbol en la cancha del parque.,The kids play basketball on the court at the park.,,
6,vencer,Los soldados vencerán al enemigo mañana.,The soldiers will defeat the enemy tomorrow.,Indicativo,Futuro
7,faltar,Faltarás a la boda si no reservas el vuelo pronto.,You'll miss the wedding if you don't book the flight soon.,Indicativo,Futuro
8,emocionante,La película tuvo un final muy emocionante.,The movie had a very exciting ending.,,
9,la juventud,Pasó su juventud viajando por Europa.,He spent his youth traveling around Europe.,,
10,la ciencia,Ella estudia ciencia en la universidad.,She studies science at the university.,,
11,ansioso,Estoy ansioso por los resultados del examen.,I'm anxious about the exam results.,,
12,diseñar,Ella diseñará el logotipo de la nueva empresa.,She will design the new company's logo.,Indicativo,Futuro
13,encantado,Estoy encantado de conocerte por fin.,I'm delighted to finally meet you.,,
14,borrar,Borraremos los archivos antiguos del servidor.,We will delete the old files from the server.,Indicativo,Futuro
15,prohibir,El gobierno prohibirá la venta de ese producto.,The government will prohibit the sale of that product.,Indicativo,Futuro
16,la asignatura,Mi asignatura favorita es la historia.,My favorite subject is history.,,
17,orgulloso,Estamos muy orgullosos de tu graduación.,We are very proud of your graduation.,,
18,estrecho,La calle es demasiado estrecha para dos coches.,The street is too narrow for two cars.,,
19,denunciar,Denunciaremos la corrupción si encontramos pruebas.,We will report the corruption if we find evidence.,Indicativo,Futuro
20,renunciar,Renunciaré a este trabajo si no mejoran las condiciones.,I will resign from this job if conditions don't improve.,Indicativo,Futuro
21,sonreír,Sonreirás cuando veas la sorpresa.,You will smile when you see the surprise.,Indicativo,Futuro
22,la paciencia,Se necesita mucha paciencia para enseñar a niños pequeños.,It takes a lot of patience to teach small children.,,
23,hacia,Caminamos hacia el centro de la ciudad.,We walked toward downtown.,,
24,débil,El paciente todavía se siente muy débil.,The patient still feels very weak.,,
25,la bandera,Izaron la bandera durante la ceremonia.,They raised the flag during the ceremony.,,
26,la respuesta,No sé la respuesta correcta a esa pregunta.,I don't know the correct answer to that question.,,
27,el ciudadano,Todo ciudadano tiene derecho a votar.,Every citizen has the right to vote.,,
28,favorito,El azul es mi color favorito.,Blue is my favorite color.,,
29,hacer cola,Harás cola si llegas tarde al cine.,You'll have to get in line if you arrive late to the movies.,Indicativo,Futuro
30,el suceso,El periódico informó sobre el extraño suceso.,The newspaper reported on the strange event.,,
31,la calidad,Esta tienda vende ropa de muy buena calidad.,This store sells very good quality clothing.,,
32,aconsejar,El consejero te aconsejará sobre qué curso elegir.,The counselor will advise you on which course to choose.,Indicativo,Futuro
33,votar,Votaremos por el nuevo alcalde en noviembre.,We will vote for the new mayor in November.,Indicativo,Futuro
34,extranjero,Trabaja para una empresa extranjera.,She works for a foreign company.,,
35,ambicioso,Es un político muy ambicioso que quiere más poder.,He is a very ambitious/greedy politician who wants more power.,,
36,enorme,Compraron una casa enorme en las afueras.,They bought an enormous house in the suburbs.,,
37,sudar,Sudarás bastante en esa clase de spinning.,You'll sweat quite a bit in that spinning class.,Indicativo,Futuro
38,perjudicar,El retraso perjudicará la entrega del proyecto.,The delay will harm the project's delivery.,Indicativo,Futuro
39,aguantar,No aguantarás ese trabajo si no te gusta.,You won't put up with that job if you don't like it.,Indicativo,Futuro
40,culpable,El jurado lo declaró culpable del crimen.,The jury found him guilty of the crime.,,
41,próximo,Nos vemos la próxima semana.,See you next week.,,
42,agotar,Este proyecto agotará nuestros recursos.,This project will exhaust our resources.,Indicativo,Futuro
43,útil,Este diccionario es muy útil para mis estudios.,This dictionary is very useful for my studies.,,
44,la risa,Se escuchaba la risa de los niños en el patio.,The children's laughter could be heard in the yard.,,
45,anciano,Ayudé a un señor anciano a cruzar la calle.,I helped an elderly man cross the street.,,
46,proponer,Propondremos un plan alternativo mañana.,We will propose an alternative plan tomorrow.,Indicativo,Futuro
47,la grasa,Esta comida tiene demasiada grasa.,This food has too much fat.,,
48,valorar,La empresa valorará tu experiencia previa.,The company will value your previous experience.,Indicativo,Futuro
49,el hogar,"Después de tantos viajes, extraño mi hogar.","After so much travel, I miss my home.",,
50,el empresario,El empresario abrió tres tiendas nuevas este año.,The businessman opened three new stores this year.,,
51,la carrera,Ella ganó la carrera de cien metros.,She won the hundred-meter race.,,
52,la huésped,La huésped llegó al hotel muy tarde por la noche.,The guest arrived at the hotel very late at night.,,
53,reconocer,Reconocerás el lugar en cuanto lo veas.,You will recognize the place as soon as you see it.,Indicativo,Futuro
54,el diccionario,Busqué la palabra en el diccionario.,I looked up the word in the dictionary.,,
55,acordarse,Te acordarás de este día para siempre.,You will remember this day forever.,Indicativo,Futuro
56,el nacimiento,Celebramos el nacimiento de su primer hijo.,We celebrated the birth of their first child.,,
57,rápido,Ese coche es muy rápido.,That car is very fast.,,
58,respirar,Respira profundamente antes de hablar en público.,Breathe deeply before speaking in public.,,
59,el servicio,El servicio en ese restaurante fue excelente.,The service at that restaurant was excellent.,,
60,descargar,Ella descargará el informe esta tarde.,She will download the report this afternoon.,Indicativo,Futuro
61,el calor,No soporto el calor en agosto.,I can't stand the heat in August.,,
62,el patrimonio,Este castillo es parte del patrimonio cultural del país.,This castle is part of the country's cultural heritage.,,
63,levantar,Levantaremos la mesa entre los dos.,We will lift the table between the two of us.,Indicativo,Futuro
64,pelearse,Se pelearán otra vez si no llegan a un acuerdo.,They will fight again if they don't reach an agreement.,Indicativo,Futuro
65,el género,El formulario pregunta por el género del solicitante.,The form asks for the applicant's gender.,,
66,soleado,Hoy es un día soleado y perfecto para la playa.,"Today is a sunny day, perfect for the beach.",,
67,el robo,Hubo un robo en el banco esta mañana.,There was a robbery at the bank this morning.,,
68,engordar,Engordarás si sigues comiendo así.,You will gain weight if you keep eating like that.,Indicativo,Futuro
69,familia,Mi familia se reúne todos los domingos.,My family gets together every Sunday.,,
70,pelear,Pelearán por el título el sábado.,They will fight for the title on Saturday.,Indicativo,Futuro
71,la muerte,La muerte de su abuelo lo afectó mucho.,His grandfather's death affected him deeply.,,
72,mentir,"Si sigues así, algún día mentirás sin darte cuenta.","If you keep this up, someday you'll lie without realizing it.",Indicativo,Futuro
73,salvaje,Vimos animales salvajes durante el safari.,We saw wild animals during the safari.,,
74,el perfil,Actualicé mi perfil en la red social.,I updated my profile on the social network.,,
75,la mayoria,La mayoría de los estudiantes aprobó el examen.,The majority of the students passed the exam.,,
76,el sueño,Su sueño es viajar por todo el mundo.,Her dream is to travel around the whole world.,,
77,la temporada,La temporada de lluvias empieza en junio.,Rainy season starts in June.,,
78,la contabilidad,Estudia contabilidad para ser contador.,He studies accounting to become an accountant.,,
79,el bienestar,Hacer ejercicio mejora tu bienestar general.,Exercising improves your overall well-being.,,
80,el técnico,El técnico reparó la lavadora en una hora.,The technician fixed the washing machine in an hour.,,
81,componer,Compondrá la banda sonora de la película.,He will compose the movie's soundtrack.,Indicativo,Futuro
82,producir,La nueva planta producirá energía limpia.,The new plant will produce clean energy.,Indicativo,Futuro
83,el guion,El actor memorizó todo el guion en dos días.,The actor memorized the whole script in two days.,,
84,leal,Mi perro es muy leal a mí.,My dog is very loyal to me.,,
85,levantar pesas,Levantaremos pesas juntos este fin de semana.,We will lift weights together this weekend.,Indicativo,Futuro
86,sugerir,Te sugeriré un par de libros interesantes.,I will suggest a couple of interesting books to you.,Indicativo,Futuro
87,la ruta,Cambiamos la ruta para evitar el tráfico.,We changed the route to avoid traffic.,,
88,el síntoma,La fiebre es un síntoma común de la gripe.,Fever is a common symptom of the flu.,,
89,la marca,Esa marca de zapatos es muy popular entre los jóvenes.,That shoe brand is very popular among young people.,,
90,el relato,El escritor publicó un relato corto sobre su infancia.,The writer published a short story about his childhood.,,
91,el ensayo,Tengo que entregar un ensayo de cinco páginas.,I have to turn in a five-page essay.,,
92,invertir,Invertiremos en tecnología el próximo año.,We will invest in technology next year.,Indicativo,Futuro
93,activo,Mi abuela sigue muy activa a los ochenta años.,My grandmother is still very active at eighty.,,
94,el discurso,El presidente dio un discurso emotivo.,The president gave an emotional speech.,,
95,la alegría,La noticia le trajo mucha alegría a la familia.,The news brought great joy to the family.,,
96,el almacén,Guardamos las cajas en el almacén.,We store the boxes in the warehouse.,,
97,el folleto,Recogí un folleto con información turística.,I picked up a brochure with tourist information.,,
98,enojarse,Te enojarás si no terminas el trabajo a tiempo.,You'll get angry if you don't finish the work on time.,Indicativo,Futuro
99,el impuesto,Pagamos impuestos sobre nuestro salario cada mes.,We pay taxes on our salary every month.,,
100,tener prisa,Tendrás prisa si sales tan tarde.,You'll be in a hurry if you leave so late.,Indicativo,Futuro
101,oscuro,La habitación estaba muy oscura sin luz.,The room was very dark without light.,,
102,el vecino,Mi vecino siempre riega las plantas del jardín.,My neighbor always waters the garden plants.,,
103,la medida,Tomé la medida de la ventana antes de comprar las cortinas.,I took the window's measurement before buying the curtains.,,
104,aburrirse,Te aburrirás si no traes un libro para el vuelo.,You'll get bored if you don't bring a book for the flight.,Indicativo,Futuro
105,adónde,¿Adónde vas con tanta prisa?,Where are you going in such a hurry?,,
106,graduarse,Se graduará con honores este año.,She will graduate with honors this year.,Indicativo,Futuro
107,sincero,Aprecio que seas tan sincero conmigo.,I appreciate that you're so sincere with me.,,
108,siguiente,"Por favor, pase al siguiente cliente.","Please, move on to the next customer.",,
109,la época,Esa canción me recuerda a mi época de estudiante.,That song reminds me of my student days.,,
110,sensible,Es un tema muy sensible para ella.,It's a very sensitive topic for her.,,
111,el origen,El origen de esta tradición es muy antiguo.,The origin of this tradition is very old.,,
112,el compromiso,Anunciaron su compromiso en la fiesta.,They announced their engagement at the party.,,
113,entrevistar,Entrevistaremos a tres finalistas mañana.,We will interview three finalists tomorrow.,Indicativo,Futuro
114,apretado,Estos zapatos me quedan muy apretados.,These shoes are too tight on me.,,
115,disminuir,La demanda disminuirá el próximo trimestre.,Demand will decrease next quarter.,Indicativo,Futuro
116,la pesadilla,Me desperté asustado después de una pesadilla.,I woke up scared after a nightmare.,,
117,normalmente,Normalmente ceno a las ocho de la noche.,I normally have dinner at eight at night.,,
118,la serie,Estamos viendo una nueva serie en la televisión.,We are watching a new series on television.,,
119,el cuento,Mi abuela me leía un cuento cada noche.,My grandmother read me a story every night.,,
120,cariñoso,Mi abuelo siempre fue muy cariñoso con nosotros.,My grandfather was always very affectionate with us.,,
121,esconder,Esconderemos las pistas por toda la casa.,We will hide the clues throughout the house.,Indicativo,Futuro
122,frecuentemente,Viajamos a Madrid frecuentemente por trabajo.,We travel to Madrid frequently for work.,,
123,sabio,Mi abuela siempre da consejos sabios.,My grandmother always gives wise advice.,,
124,el consejero,El consejero escolar me ayudó a elegir mis clases.,The school counselor helped me choose my classes.,,
125,la competencia,Hay mucha competencia entre estas dos empresas.,There is a lot of competition between these two companies.,,
126,el aire,Abramos la ventana para que entre aire fresco.,Let's open the window so fresh air comes in.,,
127,atraer,El nuevo parque atraerá a más visitantes.,The new park will attract more visitors.,Indicativo,Futuro
128,el descuento,Compré la chaqueta con un descuento del veinte por ciento.,I bought the jacket with a twenty percent discount.,,
129,apreciar,Apreciarás este consejo con el tiempo.,You will appreciate this advice with time.,Indicativo,Futuro
130,comprensivo,Mi jefe fue muy comprensivo cuando falté al trabajo.,My boss was very understanding when I missed work.,,
131,el pariente,Tengo parientes en Argentina que nunca he conocido.,I have relatives in Argentina I've never met.,,
132,alegrarse,Te alegrarás cuando veas el resultado.,You will be happy when you see the result.,Indicativo,Futuro
133,el informe,Tengo que terminar el informe antes del viernes.,I have to finish the report before Friday.,,
134,la administración de empresas,Ella estudia administración de empresas en la universidad.,She studies business administration at the university.,,
135,obedecer,Ella obedecerá las reglas del nuevo trabajo.,She will obey the rules of the new job.,Indicativo,Futuro
136,la soledad,"Después de la mudanza, sintió mucha soledad.","After the move, he felt a lot of loneliness.",,
137,agradable,Pasamos una tarde muy agradable en el parque.,We had a very nice afternoon at the park.,,
138,el movimiento,Detecté un movimiento extraño detrás de la puerta.,I detected a strange movement behind the door.,,
139,sembrar,Sembraremos verduras nuevas este año.,We will plant new vegetables this year.,Indicativo,Futuro
140,derramar,Derramarás el vino si sigues moviendo el vaso.,You'll spill the wine if you keep moving the glass.,Indicativo,Futuro
141,el argumento,No entendí el argumento principal de la película.,I didn't understand the movie's main plot/argument.,,
142,el comercio,El comercio entre los dos países creció mucho.,Trade between the two countries grew a lot.,,
143,tener hambre,Tendrás hambre antes de llegar a casa.,You'll be hungry before you get home.,Indicativo,Futuro
144,la química,La química es mi materia más difícil.,Chemistry is my hardest subject.,,
145,la ventanilla,Compré el boleto en la ventanilla de la estación.,I bought the ticket at the station window.,,
146,interpretar,Interpretará el mismo papel en la secuela.,He will play the same role in the sequel.,Indicativo,Futuro
147,la Tierra,La Tierra gira alrededor del sol.,The Earth revolves around the sun.,,
148,el alquiler,El alquiler del apartamento subió este mes.,The apartment's rent went up this month.,,
149,prevenir,El nuevo sistema prevendrá futuros errores.,The new system will prevent future errors.,Indicativo,Futuro
150,duro,Fue un año muy duro para toda la familia.,It was a very hard year for the whole family.,,
151,el compañero de clase,Mi compañero de clase me prestó sus apuntes.,My classmate lent me his notes.,,
152,el racismo,La escuela organizó una charla sobre el racismo.,The school organized a talk about racism.,,
153,la razón,No entiendo la razón de su enojo.,I don't understand the reason for his anger.,,
154,el accidente,Hubo un accidente de tráfico en la autopista.,There was a traffic accident on the highway.,,
155,el aniversario,Celebramos nuestro décimo aniversario de bodas.,We celebrated our tenth wedding anniversary.,,
156,doblar,Doblarás a la izquierda después del semáforo.,You will turn left after the traffic light.,Indicativo,Futuro
157,permitir,La nueva política permitirá trabajar desde casa.,The new policy will allow working from home.,Indicativo,Futuro
158,ancho,El río es muy ancho en esta parte.,The river is very wide in this part.,,
159,profesional,Ella siempre se comporta de manera muy profesional.,She always behaves in a very professional manner.,,
160,aburrir,Esa charla nos aburrirá si dura tres horas.,That talk will bore us if it lasts three hours.,Indicativo,Futuro
161,mantener,Mantendremos el contacto por correo.,We will keep in touch by email.,Indicativo,Futuro
162,el peso,Perdió mucho peso después de la dieta.,He lost a lot of weight after the diet.,,
163,la edad,No sé la edad exacta de mi abuelo.,I don't know my grandfather's exact age.,,
164,revisar,Revisaremos el contrato mañana.,We will review the contract tomorrow.,Indicativo,Futuro
165,pronto,Espero verte pronto.,I hope to see you soon.,,
166,el tema,El tema de la reunión era el presupuesto anual.,The topic of the meeting was the annual budget.,,
167,preocupado,Estoy preocupado por el examen de mañana.,I'm worried about tomorrow's exam.,,
168,la ley,Esta ley protege a los trabajadores.,This law protects workers.,,
169,popular,Ese cantante es muy popular entre los jóvenes.,That singer is very popular among young people.,,
170,por fin,Por fin terminamos el proyecto.,We finally finished the project.,,
171,la talla,¿Qué talla de camisa usas?,What shirt size do you wear?,,
172,tener miedo,Tendrás miedo si ves esa película de noche.,You will be afraid if you watch that movie at night.,Indicativo,Futuro
173,capaz,Ella es capaz de resolver cualquier problema.,She is capable of solving any problem.,,
174,temer,Ella temerá perder su trabajo si la empresa cierra.,She will fear losing her job if the company closes.,Indicativo,Futuro
175,maravilloso,Tuvimos un fin de semana maravilloso en la playa.,We had a wonderful weekend at the beach.,,
176,promover,La empresa promoverá a dos empleados este mes.,The company will promote two employees this month.,Indicativo,Futuro
177,abrazar,Te abrazaré fuerte cuando llegues.,I will hug you tight when you arrive.,Indicativo,Futuro
178,bello,El atardecer sobre el mar es bello.,The sunset over the sea is beautiful.,,
179,contratar,Contrataremos a un nuevo diseñador el próximo mes.,We will hire a new designer next month.,Indicativo,Futuro
180,enamorado,Está enamorado de su mejor amiga.,He is in love with his best friend.,,
181,el presupuesto,Tenemos que reducir el presupuesto este trimestre.,We have to cut the budget this quarter.,,
182,conservar,El parque conservará su vegetación natural.,The park will preserve its natural vegetation.,Indicativo,Futuro
183,la esperanza,Nunca perdió la esperanza de encontrar trabajo.,She never lost hope of finding a job.,,
184,coger,Cogeremos un taxi si llueve.,We will take a taxi if it rains.,Indicativo,Futuro
185,jamás,Jamás había visto algo tan hermoso.,I had never seen something so beautiful.,,
186,suponer,Supondremos que el plan sigue en pie.,We will assume the plan is still on.,Indicativo,Futuro
187,el apoyo,Agradezco mucho tu apoyo durante estos meses difíciles.,I really appreciate your support during these difficult months.,,
188,desaparecer,El sol desapareció detrás de las montañas.,The sun disappeared behind the mountains.,,
189,a tiempo,Llegamos a tiempo para el comienzo del concierto.,We arrived on time for the start of the concert.,,
190,la confianza,Necesitamos reconstruir la confianza entre nosotros.,We need to rebuild trust between us.,,
191,el conocimiento,Tiene un gran conocimiento de historia antigua.,He has great knowledge of ancient history.,,
192,el espacio,No hay suficiente espacio para todos los muebles.,There isn't enough space for all the furniture.,,
193,apoyar,Apoyaremos la iniciativa del ayuntamiento.,We will support the city council's initiative.,Indicativo,Futuro
194,pescar,Pescaremos temprano antes de que salga el sol.,We will fish early before the sun comes up.,Indicativo,Futuro
195,jurar,Te juraré lealtad para siempre.,I will swear loyalty to you forever.,Indicativo,Futuro
196,la obra,Visitamos una obra de teatro anoche.,We saw a play last night.,,
197,el edificio,Ese edificio tiene treinta pisos.,That building has thirty floors.,,
198,la huelga,Los trabajadores organizaron una huelga por mejores salarios.,The workers organized a strike for better wages.,,
199,el cielo,El cielo estaba lleno de estrellas anoche.,The sky was full of stars last night.,,
200,convertirse en,Se convertirá en una gran doctora.,She will become a great doctor.,Indicativo,Futuro
201,de acuerdo,Estoy de acuerdo contigo en ese punto.,I agree with you on that point.,,
202,negar,"Negarás todo hasta el final, ¿verdad?","You'll deny everything until the end, right?",Indicativo,Futuro
203,fresco,Compramos pescado fresco en el mercado.,We bought fresh fish at the market.,,
204,la lucha,Su lucha contra la enfermedad inspiró a muchos.,Her fight against the illness inspired many.,,
205,precioso,Ese anillo es un recuerdo precioso de mi abuela.,That ring is a precious keepsake from my grandmother.,,
206,entrenarse,Me entrenaré con un profesional este verano.,I will train with a professional this summer.,Indicativo,Futuro
207,normal,Es normal sentir nervios antes de un examen.,It's normal to feel nervous before an exam.,,
208,el proyecto,Presentamos el proyecto final la próxima semana.,We present the final project next week.,,
209,la costa,Pasamos las vacaciones en la costa mediterránea.,We spent our vacation on the Mediterranean coast.,,
210,la capital,Madrid es la capital de España.,Madrid is the capital of Spain.,,
211,quizá,Quizá llueva esta tarde.,It might rain this afternoon.,,
212,estudioso,Mi hermana siempre fue muy estudiosa en el colegio.,My sister was always very studious in school.,,
213,el respeto,Los estudiantes deben mostrar respeto por sus profesores.,Students should show respect for their teachers.,,
214,formal,La boda fue un evento muy formal.,The wedding was a very formal event.,,
215,confiar,Confiaremos en el nuevo plan.,We will trust the new plan.,Indicativo,Futuro
216,contrario,Hicimos todo lo contrario de lo que nos dijeron.,We did the complete opposite of what we were told.,,
217,dentro de,El vuelo sale dentro de dos horas.,The flight leaves within two hours.,,
218,el hambre,El programa lucha contra el hambre en el mundo.,The program fights hunger around the world.,,
219,el negocio,Abrieron un negocio de comida rápida.,They opened a fast food business.,,
220,enfermo,Mi hijo está enfermo y no fue a la escuela.,My son is sick and didn't go to school.,,
221,el material,Esta mesa está hecha de un material muy resistente.,This table is made of a very sturdy material.,,
222,muy bien,El proyecto salió muy bien al final.,The project turned out very well in the end.,,
223,el curso,Me inscribí en un curso de fotografía.,I enrolled in a photography course.,,
224,el error,Cometí un error grave en el informe.,I made a serious mistake in the report.,,
225,anunciar,Anunciarán los resultados mañana por la tarde.,They will announce the results tomorrow afternoon.,Indicativo,Futuro
226,reservar,Ella reservará el salón para la fiesta.,She will reserve the hall for the party.,Indicativo,Futuro
227,aparecer,Los resultados aparecerán en la página web mañana.,The results will appear on the website tomorrow.,Indicativo,Futuro
228,charlar,"Charlaremos más tarde, ahora estoy ocupado.","We'll chat later, I'm busy right now.",Indicativo,Futuro
229,el asiento,Reservé un asiento cerca de la ventana.,I reserved a seat near the window.,,
230,vivo,"Por suerte, el gato todavía está vivo.","Luckily, the cat is still alive.",,
231,el pago,El pago se debe hacer antes de fin de mes.,The payment must be made before the end of the month.,,
232,menor,Mi hermano menor tiene quince años.,My younger brother is fifteen years old.,,
233,el periodismo,Estudió periodismo porque le encanta escribir.,She studied journalism because she loves to write.,,
234,la actitud,Me gusta su actitud positiva ante los problemas.,I like her positive attitude toward problems.,,
235,batir,Batiremos la crema hasta que esté firme.,We will beat the cream until it's stiff.,Indicativo,Futuro
236,emocionado,Estoy muy emocionado por el viaje del próximo mes.,I'm very excited about next month's trip.,,
237,la regla,Hay una regla que prohíbe usar el celular en clase.,There's a rule that prohibits using the phone in class.,,
238,la herramienta,Necesito una herramienta para arreglar la bicicleta.,I need a tool to fix the bicycle.,,
239,lejos de,Vivimos lejos de la playa.,We live far from the beach.,,
240,las redes sociales,Pasa demasiado tiempo en las redes sociales.,He spends too much time on social media.,,
241,eficaz,Este medicamento es muy eficaz contra el dolor de cabeza.,This medicine is very effective against headaches.,,
242,suficiente,No tenemos suficiente dinero para el viaje.,We don't have enough money for the trip.,,
243,el acontecimiento,La boda fue el acontecimiento del año.,The wedding was the event of the year.,,
244,asegurar,Aseguraremos la puerta antes de salir.,We will secure the door before leaving.,Indicativo,Futuro
245,el éxito,El éxito de la empresa se debe a su equipo.,The company's success is due to its team.,,
246,responder,Te responderé mañana con más detalles.,I will answer you tomorrow with more details.,Indicativo,Futuro
247,el taller,Llevé el coche al taller para repararlo.,I took the car to the workshop to have it repaired.,,
248,la factura,Recibí la factura del gas por correo.,I received the gas invoice by mail.,,
249,mezclar,Mezclaremos los dos equipos para el juego.,We will mix the two teams for the game.,Indicativo,Futuro
250,atrevido,Fue muy atrevido al hablar así con su jefe.,It was very daring of him to speak to his boss that way.,,
251,desafortunadamente,"Desafortunadamente, perdimos el vuelo.","Unfortunately, we missed the flight.",,
252,enfermarse,Te enfermarás si no te abrigas bien.,You'll get sick if you don't dress warmly.,Indicativo,Futuro
253,fiel,Es un amigo muy fiel desde la infancia.,He's a very faithful friend since childhood.,,
254,diario,Hago ejercicio diario por las mañanas.,I exercise daily in the mornings.,,
255,celoso,Se pone celoso cuando hablo con otros chicos.,He gets jealous when I talk to other guys.,,
256,la amenaza,El huracán representa una amenaza para la costa.,The hurricane represents a threat to the coast.,,
257,igualmente,—Que tengas buen día. —Igualmente.,'Have a good day.' 'Likewise.',,
258,el ambiente,Debemos cuidar el ambiente para las futuras generaciones.,We must take care of the environment for future generations.,,
259,ausente,Estuvo ausente toda la semana por enfermedad.,He was absent all week due to illness.,,
260,el juguete,Le regalé un juguete nuevo a mi sobrino.,I gave my nephew a new toy.,,
261,ligero,Prefiero comer algo ligero antes de dormir.,I prefer to eat something light before sleeping.,,
262,la leyenda,Esa leyenda se cuenta desde hace siglos.,That legend has been told for centuries.,,
263,dudar,Dudarás de tu decisión si no lo piensas bien.,You'll doubt your decision if you don't think it through.,Indicativo,Futuro
264,la señorita,La señorita García será nuestra nueva profesora.,Miss García will be our new teacher.,,
265,el recuerdo,Guardo un buen recuerdo de ese verano.,I keep a good memory of that summer.,,
266,conversar,Conversaré contigo después de la reunión.,I will talk with you after the meeting.,Indicativo,Futuro
267,el comportamiento,Su comportamiento en clase mejoró mucho.,His behavior in class improved a lot.,,
268,reemplazar,La empresa reemplazará el sistema antiguo.,The company will replace the old system.,Indicativo,Futuro
269,rápidamente,Terminó la tarea rápidamente.,He finished the homework quickly.,,
270,el fuego,Encendieron una fogata con fuego de leña.,They lit a bonfire with wood fire.,,
271,el pasado,Prefiere no hablar de su pasado.,She prefers not to talk about her past.,,
272,el juez,El juez dictó sentencia esta mañana.,The judge issued a ruling this morning.,,
273,generoso,Fue muy generoso al donar tanto dinero.,He was very generous in donating so much money.,,
274,cómico,Ese programa de televisión es muy cómico.,That TV show is very funny.,,
275,el despertador,El despertador sonó a las seis de la mañana.,The alarm clock rang at six in the morning.,,
276,el castigo,Le dieron un castigo por llegar tarde.,They gave him a punishment for arriving late.,,
277,la receta,El médico me dio una receta para el dolor.,The doctor gave me a prescription for the pain.,,
278,exigir,Exigiremos una respuesta clara.,We will demand a clear answer.,Indicativo,Futuro
279,disponible,¿Hay habitaciones disponibles para esta noche?,Are there rooms available for tonight?,,
280,el significado,No conozco el significado de esa palabra.,I don't know the meaning of that word.,,
281,tratar de,Trataremos de llegar antes de las siete.,We will try to arrive before seven.,Indicativo,Futuro
282,la nacionalidad,¿Cuál es tu nacionalidad?,What is your nationality?,,
283,mudarse,Me mudaré a un apartamento más pequeño.,I will move to a smaller apartment.,Indicativo,Futuro
284,enfrentar,Enfrentaremos la situación con más cuidado.,We will confront the situation more carefully.,Indicativo,Futuro
285,robar,Nadie robará nada con estas cámaras nuevas.,No one will steal anything with these new cameras.,Indicativo,Futuro
