id,spanish,example_es,example_en,mood,tense
286,el compañero,Mi compañero de trabajo me ayudó con el proyecto.,My work companion helped me with the project.,,
287,soltero,Todavía está soltero a los treinta años.,He's still single at thirty.,,
288,apenas,Apenas dormí anoche.,I barely slept last night.,,
289,la pena,Es una pena que no puedas venir a la fiesta.,It's a shame you can't come to the party.,,
290,estupendo,Hiciste un trabajo estupendo en el proyecto.,You did a great job on the project.,,
291,claro,Sus instrucciones fueron muy claras.,His instructions were very clear.,,
292,despedir,Despedirán a dos gerentes este mes.,They will fire two managers this month.,Indicativo,Futuro
293,el camino,Tomamos el camino más corto a casa.,We took the shortest road home.,,
294,el grado,La temperatura bajó diez grados esta noche.,The temperature dropped ten degrees tonight.,,
295,genial,Fue una fiesta genial.,It was a great party.,,
296,ir a,"Irás a la fiesta con nosotros, ¿verdad?","You'll go to the party with us, right?",Indicativo,Futuro
297,muchas gracias,Muchas gracias por tu ayuda con la mudanza.,Thank you very much for your help with the move.,,
298,fascinar,"Ese museo te fascinará, estoy segura.","That museum will fascinate you, I'm sure.",Indicativo,Futuro
299,respetar,Respetarán las nuevas reglas del edificio.,They will respect the building's new rules.,Indicativo,Futuro
300,quitarse,"Me quitaré la chaqueta, tengo calor.","I'll take off my jacket, I'm hot.",Indicativo,Futuro
301,la paz,Solo queremos vivir en paz.,We just want to live in peace.,,
302,el hecho,El hecho es que nadie llamó a tiempo.,The fact is that no one called on time.,,
303,interesar,Ese tema te interesará más de lo que crees.,That topic will interest you more than you think.,Indicativo,Futuro
304,cobrar,El hotel cobrará un extra por la mascota.,The hotel will charge extra for the pet.,Indicativo,Futuro
305,igual,Todos los empleados reciben un trato igual.,All employees receive equal treatment.,,
306,buenas tardes,"Buenas tardes, ¿en qué puedo ayudarle?","Good afternoon, how can I help you?",,
307,vago,Es demasiado vago para lavar los platos.,He's too lazy to wash the dishes.,,
308,la clave,La paciencia es la clave del éxito.,Patience is the key to success.,,
309,hermoso,El jardín se ve hermoso en primavera.,The garden looks beautiful in spring.,,
310,probarse,Te probarás el traje antes de comprarlo.,You will try on the suit before buying it.,Indicativo,Futuro
311,por supuesto,—¿Puedes ayudarme? —Por supuesto.,'Can you help me?' 'Of course.',,
312,el oso,Vimos un oso desde lejos en el bosque.,We saw a bear from a distance in the forest.,,
313,la sangre,El médico le sacó sangre para los análisis.,The doctor drew his blood for the tests.,,
314,utilizar,Utilizaremos energía solar en la nueva casa.,We will use solar energy in the new house.,Indicativo,Futuro
315,flexible,Mi horario de trabajo es bastante flexible.,My work schedule is quite flexible.,,
316,el enlace,Haz clic en el enlace para más información.,Click the link for more information.,,
317,medir,Mediremos el terreno antes de construir.,We will measure the land before building.,Indicativo,Futuro
318,elegir,Elegirás la universidad el próximo mes.,You will choose the university next month.,Indicativo,Futuro
319,relajarse,Te relajarás en cuanto termines este proyecto.,You will relax as soon as you finish this project.,Indicativo,Futuro
320,recorrer,Recorreremos el país en tren este verano.,We will travel around the country by train this summer.,Indicativo,Futuro
321,crecer,Esta ciudad crecerá mucho en la próxima década.,This city will grow a lot in the next decade.,Indicativo,Futuro
322,alquilar,Alquilaré un vestido para la fiesta.,I will rent a dress for the party.,Indicativo,Futuro
323,aprovechar,Aprovecharemos el buen clima este fin de semana.,We will take advantage of the good weather this weekend.,Indicativo,Futuro
324,transmitir,La televisión transmitirá la final el domingo.,Television will broadcast the final on Sunday.,Indicativo,Futuro
325,aumentar,La demanda aumentará en diciembre.,Demand will increase in December.,Indicativo,Futuro
326,cazar,Cazaremos solo con permiso especial.,We will hunt only with a special permit.,Indicativo,Futuro
327,colocar,Colocaremos las sillas antes de que lleguen los invitados.,We will set up the chairs before the guests arrive.,Indicativo,Futuro
328,importar,Eso no importará dentro de unos años.,That won't matter in a few years.,Indicativo,Futuro
329,presentar,Presentará su nuevo libro la próxima semana.,He will present his new book next week.,Indicativo,Futuro
330,saltar,Saltarás de la emoción cuando lo veas.,You'll jump with excitement when you see it.,Indicativo,Futuro
331,soler,"Cuando te mudes al campo, solerás madrugar mucho más.","When you move to the countryside, you'll usually get up much earlier.",Indicativo,Futuro
332,jubilarse,Se jubilará dentro de dos años.,She will retire in two years.,Indicativo,Futuro
333,amenazar,La sequía amenazará las cosechas este año.,The drought will threaten the harvests this year.,Indicativo,Futuro
334,matar,Eso matará la planta si no la riegas.,That will kill the plant if you don't water it.,Indicativo,Futuro
335,la vez,Esta es la primera vez que viajo solo.,This is the first time I've traveled alone.,,
336,el puente,Cruzamos el puente para llegar al otro lado del río.,We crossed the bridge to get to the other side of the river.,,
337,regalar,Le regalaremos un viaje para su aniversario.,We will give them a trip for their anniversary.,Indicativo,Futuro
338,el mensaje,Te dejé un mensaje en el buzón de voz.,I left you a message on voicemail.,,
339,terrible,Tuvimos un día terrible en el trabajo.,We had a terrible day at work.,,
340,el mundo,Quiere viajar por todo el mundo.,She wants to travel around the whole world.,,
341,el sol,El sol sale muy temprano en verano.,The sun rises very early in summer.,,
342,saludar,Te saludaré en cuanto te vea.,I will greet you as soon as I see you.,Indicativo,Futuro
343,soñar,Soñarás con esta aventura por años.,You will dream about this adventure for years.,Indicativo,Futuro
344,ocupado,Estoy muy ocupado esta semana con exámenes.,I'm very busy this week with exams.,,
345,despedirse,Me despediré de todos antes de viajar.,I will say goodbye to everyone before traveling.,Indicativo,Futuro
346,tener que,Tendrás que estudiar mucho para ese examen.,You will have to study a lot for that exam.,Indicativo,Futuro
347,romperse,Se te romperán los zapatos si sigues corriendo así.,Your shoes will break if you keep running like that.,Indicativo,Futuro
348,destruir,El huracán destruirá muchas construcciones.,The hurricane will destroy many buildings.,Indicativo,Futuro
349,lleno,El estadio estaba lleno de aficionados.,The stadium was full of fans.,,
350,preocuparse,Te preocuparás menos con el tiempo.,You'll worry less with time.,Indicativo,Futuro
351,buenas noches,"Buenas noches, que descanses.","Good night, sleep well.",,
352,volar,Volaremos a París en junio.,We will fly to Paris in June.,Indicativo,Futuro
353,horrible,Tuvo una experiencia horrible en el hospital.,He had a horrible experience at the hospital.,,
354,último,Este es el último tren de la noche.,This is the last train of the night.,,
355,construir,Construiremos una casa nueva el próximo año.,We will build a new house next year.,Indicativo,Futuro
356,encender,Encenderemos las luces del árbol esta noche.,We will turn on the tree lights tonight.,Indicativo,Futuro
357,crear,Crearemos un plan nuevo para el proyecto.,We will create a new plan for the project.,Indicativo,Futuro
358,gritar,Gritarás de emoción cuando veas la sorpresa.,You'll shout with excitement when you see the surprise.,Indicativo,Futuro
359,describir,Describirás la escena en tu próximo ensayo.,You will describe the scene in your next essay.,Indicativo,Futuro
360,llorar,Llorarás de la risa con esta comedia.,You'll cry from laughing so much with this comedy.,Indicativo,Futuro
361,amar,"Te amaré siempre, pase lo que pase.","I will always love you, no matter what.",Indicativo,Futuro
362,decidir,Decidirás pronto qué universidad elegir.,You will decide soon which university to choose.,Indicativo,Futuro
363,la solución,Encontramos una solución rápida al problema.,We found a quick solution to the problem.,,
364,el autor,El autor firmó ejemplares de su nuevo libro.,The author signed copies of his new book.,,
365,famoso,Se hizo famoso después de su primera película.,He became famous after his first movie.,,
366,la actividad,El campamento ofrece muchas actividades al aire libre.,The camp offers many outdoor activities.,,
367,más o menos,Llegaremos en más o menos una hora.,We'll arrive in more or less an hour.,,
368,internacional,Trabaja para una organización internacional.,She works for an international organization.,,
369,original,Su idea era muy original.,His idea was very original.,,
370,la letra,No recuerdo la letra de esa canción.,I don't remember the lyrics of that song.,,
371,personal,Eso es un asunto muy personal.,That's a very personal matter.,,
372,la recepción,Deja la llave en la recepción del hotel.,Leave the key at the hotel reception.,,
373,el tráfico,El tráfico estaba terrible esta mañana.,Traffic was terrible this morning.,,
374,la sociedad,La educación es clave para el progreso de la sociedad.,Education is key to the progress of society.,,
375,organizado,Mi escritorio siempre está muy organizado.,My desk is always very organized.,,
376,comunicarse,Me comunicaré contigo en cuanto llegue.,I will communicate with you as soon as I arrive.,Indicativo,Futuro
377,puro,Este aceite de oliva es puro.,This olive oil is pure.,,
378,comunicación,La buena comunicación evita muchos malentendidos.,Good communication prevents many misunderstandings.,,
379,la comunidad,Toda la comunidad ayudó a limpiar el parque.,The whole community helped clean the park.,,
380,la ecología,Estudia ecología para proteger los océanos.,She studies ecology to protect the oceans.,,
381,curioso,El niño es muy curioso y hace muchas preguntas.,The boy is very curious and asks a lot of questions.,,
382,informar,Les informaremos la decisión mañana.,We will inform them of the decision tomorrow.,Indicativo,Futuro
383,la violencia,La película muestra demasiada violencia.,The movie shows too much violence.,,
384,fantástico,Tuvimos un viaje fantástico por Italia.,We had a fantastic trip through Italy.,,
385,modesto,"A pesar de su éxito, sigue siendo muy modesto.","Despite his success, he remains very modest.",,
386,el crítico,El crítico de cine elogió la actuación principal.,The film critic praised the lead performance.,,
387,la vacación,Necesito una vacación después de tanto trabajo.,I need a vacation after so much work.,,
388,la memoria,Tiene muy buena memoria para los nombres.,He has a very good memory for names.,,
389,la conservación,El parque nacional se dedica a la conservación de especies.,The national park is dedicated to species conservation.,,
390,la graduación,Mis padres vinieron a mi graduación.,My parents came to my graduation.,,
391,la biología,La biología marina me parece fascinante.,Marine biology seems fascinating to me.,,
392,la invitación,Recibimos la invitación para la boda ayer.,We received the wedding invitation yesterday.,,
393,la acción,La película es de acción y aventura.,The movie is action and adventure.,,
394,la inseguridad,Su inseguridad le impide hablar en público.,His insecurity keeps him from speaking in public.,,
395,tradicional,Prepararon una comida tradicional para la fiesta.,They prepared a traditional meal for the party.,,
396,la región,Esta región es famosa por sus vinos.,This region is famous for its wines.,,
397,la internet,No funciona la internet en mi casa.,The internet isn't working at my house.,,
398,manipular,Manipulará la máquina con más cuidado la próxima vez.,He will operate the machine more carefully next time.,Indicativo,Futuro
399,el editor,El editor revisó todo el manuscrito antes de publicarlo.,The editor reviewed the whole manuscript before publishing it.,,
400,la protección,Los guantes ofrecen protección contra el frío.,The gloves offer protection against the cold.,,
401,la industria,La industria textil emplea a miles de personas.,The textile industry employs thousands of people.,,
402,la electricidad,Se fue la electricidad durante la tormenta.,The electricity went out during the storm.,,
403,la modelo,La modelo desfiló con un vestido rojo.,The model walked the runway in a red dress.,,
404,la operación,La operación duró casi cuatro horas.,The operation lasted almost four hours.,,
405,creativo,Necesitamos una solución creativa para este problema.,We need a creative solution for this problem.,,
406,la economía,La economía del país creció el año pasado.,The country's economy grew last year.,,
407,la geografía,Estudiamos la geografía de América del Sur.,We studied the geography of South America.,,
408,la gasolina,El precio de la gasolina subió otra vez.,The price of gasoline went up again.,,
409,especialmente,"Me gusta la fruta, especialmente las fresas.","I like fruit, especially strawberries.",,
410,la víctima,La víctima del accidente ya está fuera de peligro.,The accident victim is already out of danger.,,
411,controlar,Controlaremos mejor los costos este año.,We will control costs better this year.,Indicativo,Futuro
412,increíble,Vimos un espectáculo increíble anoche.,We saw an incredible show last night.,,
413,la destrucción,El terremoto causó una destrucción enorme.,The earthquake caused enormous destruction.,,
414,consumir,Consumiremos menos plástico este año.,We will consume less plastic this year.,Indicativo,Futuro
415,la oportunidad,Le dieron la oportunidad de trabajar en el extranjero.,They gave him the opportunity to work abroad.,,
416,regular,Vamos al gimnasio de manera regular.,We go to the gym on a regular basis.,,
417,la dieta,Sigue una dieta baja en grasas.,He follows a low-fat diet.,,
418,el defecto,El producto tenía un pequeño defecto de fábrica.,The product had a small factory defect.,,
419,publicar,Publicaremos los resultados mañana.,We will publish the results tomorrow.,Indicativo,Futuro
420,la agricultura,La agricultura es la principal actividad de esta región.,Agriculture is the main activity of this region.,,
421,atractivo,Encuentro muy atractivo su sentido del humor.,I find his sense of humor very attractive.,,
422,separado,Mis padres están separados desde hace dos años.,My parents have been separated for two years.,,
423,la cualidad,La honestidad es su mejor cualidad.,Honesty is his best quality.,,
424,el planeta,Marte es el cuarto planeta desde el sol.,Mars is the fourth planet from the sun.,,
425,informal,Fue una reunión bastante informal.,It was a fairly informal meeting.,,
426,ecónomico,El país atraviesa una crisis económica.,The country is going through an economic crisis.,,
427,la droga,La campaña advierte sobre los peligros de la droga.,The campaign warns about the dangers of drugs.,,
428,el video,Subí un video nuevo a mi canal.,I uploaded a new video to my channel.,,
429,contaminado,El agua del río está contaminada.,The river water is contaminated.,,
430,violento,Esa escena de la película es muy violenta.,That scene in the movie is very violent.,,
431,la discriminación,La ley protege a las personas contra la discriminación.,The law protects people against discrimination.,,
432,independiente,Se mudó sola para ser más independiente.,She moved out on her own to be more independent.,,
433,el objeto,Encontraron un objeto extraño en la playa.,They found a strange object on the beach.,,
434,la obra de arte,Ese cuadro es una obra de arte increíble.,That painting is an incredible work of art.,,
435,el salario,Recibió un aumento de salario este año.,He got a salary raise this year.,,
436,la generosidad,Agradecemos su generosidad con los más necesitados.,We appreciate his generosity toward those in need.,,
437,tener una cita,Tendrás una cita con el especialista el lunes.,You will have an appointment with the specialist on Monday.,Indicativo,Futuro
438,llamarse,El nuevo producto se llamará 'Aurora'.,The new product will be called 'Aurora'.,Indicativo,Futuro
439,la experiencia,Tiene mucha experiencia en atención al cliente.,She has a lot of experience in customer service.,,
440,la especialidad,La paella es la especialidad de este restaurante.,Paella is this restaurant's specialty.,,
441,la pensión,Recibe una pensión desde que se jubiló.,He receives a pension since he retired.,,
442,desorganizado,Su escritorio siempre está desorganizado.,His desk is always disorganized.,,
443,salir con,Saldré con mis amigas el viernes.,I will go out with my friends on Friday.,Indicativo,Futuro
444,el estrés,El estrés del trabajo le afecta el sueño.,Work stress is affecting his sleep.,,
445,el interés,El banco cobra un interés muy alto.,The bank charges very high interest.,,
446,la relación,Llevan una relación muy sana.,They have a very healthy relationship.,,
447,depositar,Depositaremos el dinero mañana por la mañana.,We will deposit the money tomorrow morning.,Indicativo,Futuro
448,el crimen,La policía investiga el crimen desde ayer.,The police have been investigating the crime since yesterday.,,
449,la fecha de nacimiento,Escriba su fecha de nacimiento en el formulario.,Write your date of birth on the form.,,
450,tener cuidado,Tendrás que tener cuidado con el hielo.,You'll have to be careful with the ice.,Indicativo,Futuro
451,la información,Necesito más información antes de decidir.,I need more information before deciding.,,
452,tener sueño,Tendrás sueño si te acuestas tan tarde.,You'll be sleepy if you go to bed so late.,Indicativo,Futuro
453,el correo electrónico,Te envié los documentos por correo electrónico.,I sent you the documents by email.,,
454,complicado,El examen fue más complicado de lo esperado.,The exam was more complicated than expected.,,
455,el músculo,Se lastimó un músculo de la pierna corriendo.,He hurt a leg muscle while running.,,
456,la página web,Diseñó la página web de su nuevo negocio.,He designed the web page for his new business.,,
457,inseguro,Se siente inseguro de hablar frente a mucha gente.,He feels insecure about speaking in front of a lot of people.,,
458,ecológico,Compramos productos de limpieza ecológicos.,We buy ecological cleaning products.,,
459,el candidato,El candidato ganó las elecciones por poco margen.,The candidate won the election by a small margin.,,
460,lavarse la cara,"Te lavarás la cara antes de acostarte, ¿verdad?","You'll wash your face before going to bed, right?",Indicativo,Futuro
461,la campaña,Lanzaron una campaña publicitaria muy exitosa.,They launched a very successful advertising campaign.,,
462,tener celos,Tendrás celos si sigue hablando de su ex.,You'll get jealous if he keeps talking about his ex.,Indicativo,Futuro
463,talentoso,Es un músico muy talentoso.,He's a very talented musician.,,
464,el contrato,Firmamos el contrato de alquiler ayer.,We signed the rental contract yesterday.,,
465,tener razón,Tendrás razón si el plan funciona.,You will be right if the plan works.,Indicativo,Futuro
466,la demanda,Hay una gran demanda de productos orgánicos.,There's a great demand for organic products.,,
467,insistir en,Insistiremos en una respuesta clara.,We will insist on a clear answer.,Indicativo,Futuro
468,la justicia,Buscan justicia para las víctimas del accidente.,They seek justice for the accident victims.,,
469,práctico,Es más práctico tomar el metro que el coche.,It's more practical to take the subway than the car.,,
470,vuestro,¿Es este vuestro coche?,Is this your car?,,
471,estresado,Está muy estresado por los exámenes finales.,He's very stressed about the final exams.,,
472,la estatua,Tomamos fotos junto a la estatua del parque.,We took photos next to the park statue.,,
473,el desastre,La fiesta terminó siendo un desastre.,The party ended up being a disaster.,,
474,el divorcio,Sus padres pasaron por un divorcio difícil.,His parents went through a difficult divorce.,,
475,el aumento,Pidió un aumento de sueldo a su jefe.,He asked his boss for a raise.,,
476,el laboratorio,Los científicos trabajan en el laboratorio toda la noche.,The scientists work in the laboratory all night.,,
477,quitar la mesa,"Quitarás la mesa después de comer, ¿verdad?","You'll clear the table after eating, right?",Indicativo,Futuro
478,el campeón,Fue campeón del torneo dos años seguidos.,He was the tournament champion two years in a row.,,
479,tener éxito,Tendrás éxito si sigues esforzándote así.,You will be successful if you keep working this hard.,Indicativo,Futuro
480,llevarse bien,Se llevarán bien en cuanto se conozcan mejor.,They will get along once they know each other better.,Indicativo,Futuro
481,el sitio web,Compré las entradas en el sitio web oficial.,I bought the tickets on the official website.,,
482,la responsabilidad,Cuidar del perro es tu responsabilidad.,Taking care of the dog is your responsibility.,,
484,hablador,Mi tío es muy hablador en las reuniones familiares.,My uncle is very talkative at family gatherings.,,
485,el punto de vista,"Respeto tu punto de vista, aunque no esté de acuerdo.","I respect your point of view, even though I don't agree.",,
486,el archivo,Adjunté el archivo en el correo.,I attached the file to the email.,,
487,llegar tarde,Llegarás tarde si no sales ahora.,You'll be late if you don't leave now.,Indicativo,Futuro
488,el reportaje,Vimos un reportaje sobre el cambio climático.,We watched a report about climate change.,,
489,el juego de mesa,Jugamos un juego de mesa después de cenar.,We played a board game after dinner.,,
490,el entrevistador,El entrevistador hizo preguntas muy difíciles.,The interviewer asked very difficult questions.,,
491,la estrategia,El equipo cambió su estrategia en el segundo tiempo.,The team changed its strategy in the second half.,,
492,la deforestación,La deforestación amenaza a muchas especies animales.,Deforestation threatens many animal species.,,
493,lujoso,Se hospedaron en un hotel lujoso durante la luna de miel.,They stayed at a luxurious hotel during their honeymoon.,,
494,la infancia,Pasó su infancia en un pequeño pueblo.,He spent his childhood in a small town.,,
495,la crítica,El libro recibió muy buena crítica.,The book received very good reviews.,,
496,el invitado,El invitado de honor llegó tarde a la cena.,The guest of honor arrived late to the dinner.,,
497,disfrutar de,Disfrutarás de un descanso merecido.,You will enjoy a well-deserved rest.,Indicativo,Futuro
498,el consumo,El consumo de energía aumenta en verano.,Energy consumption increases in summer.,,
499,escalar montañas,Escalaremos montañas en nuestro próximo viaje.,We will climb mountains on our next trip.,Indicativo,Futuro
500,el recurso natural,El agua es un recurso natural muy valioso.,Water is a very valuable natural resource.,,
501,realista,Tenemos que ser realistas sobre el plazo del proyecto.,We have to be realistic about the project deadline.,,
502,estar a dieta,Estarás a dieta si quieres bajar de peso rápido.,You'll be on a diet if you want to lose weight quickly.,Indicativo,Futuro
503,ir de vacaciones,Iremos de vacaciones en agosto.,We will go on vacation in August.,Indicativo,Futuro
504,hacer un viaje,Harás un viaje increíble el próximo mes.,You will take an incredible trip next month.,Indicativo,Futuro
505,pasarlo mal,Lo pasarás mal si no estudias para el examen.,You'll have a bad time if you don't study for the exam.,Indicativo,Futuro
506,sostenible,Buscan un modelo de desarrollo más sostenible.,They are looking for a more sustainable development model.,,
507,el reportero,El reportero cubrió la noticia en vivo.,The reporter covered the news live.,,
508,ganarse la vida,Me ganaré la vida haciendo lo que amo.,I will earn a living doing what I love.,Indicativo,Futuro
509,la manifestación,Miles de personas participaron en la manifestación.,Thousands of people took part in the demonstration.,,
510,el usuario,La aplicación tiene más de un millón de usuarios.,The app has more than a million users.,,
511,la sanidad,El gobierno invirtió más dinero en la sanidad pública.,The government invested more money in public healthcare.,,
512,el desempleo,El desempleo bajó durante el último trimestre.,Unemployment dropped during the last quarter.,,
513,el equilibrio,Es importante mantener el equilibrio entre trabajo y vida personal.,It's important to maintain a balance between work and personal life.,,
514,el edificio de apartamentos,Viven en un edificio de apartamentos cerca del centro.,They live in an apartment building near downtown.,,
515,llevarse mal,Se llevarán mal si no resuelven sus diferencias.,They will get along badly if they don't resolve their differences.,Indicativo,Futuro
516,el beneficio,La empresa tuvo grandes beneficios este trimestre.,The company had large profits this quarter.,,
517,la ecologista,La ecologista organizó una protesta contra la tala de árboles.,The environmentalist organized a protest against tree cutting.,,
518,la autoestima,Hacer deporte mejoró mucho su autoestima.,Playing sports greatly improved her self-esteem.,,
519,nutritivo,Intentamos preparar comidas nutritivas para los niños.,We try to prepare nutritious meals for the kids.,,
520,la diversión,El parque de diversiones es pura diversión para los niños.,The amusement park is pure fun for the kids.,,
521,apasionado,Es un apasionado de la música clásica.,He's passionate about classical music.,,
522,comentar,Comentaré tu propuesta con el equipo mañana.,I will discuss your proposal with the team tomorrow.,Indicativo,Futuro
523,el medicamento,Tienes que tomar este medicamento tres veces al día.,You have to take this medicine three times a day.,,
524,el cambio climático,El cambio climático afecta a todo el planeta.,Climate change affects the whole planet.,,
525,el agricultor,El agricultor cosecha maíz cada otoño.,The farmer harvests corn every fall.,,
526,el funcionario,Trabaja como funcionario en el ayuntamiento.,He works as a civil servant at the city council.,,
527,equilibrado,Es importante llevar una dieta equilibrada.,It's important to have a balanced diet.,,
528,el enfado,Se le pasó el enfado después de hablar con ella.,His anger went away after talking with her.,,
529,el petróleo,El precio del petróleo subió esta semana.,The price of oil went up this week.,,
530,la publicidad,Trabaja en publicidad para una marca de ropa.,She works in advertising for a clothing brand.,,
531,la entrega,La entrega del paquete tardó una semana.,The package delivery took a week.,,
532,la ciencia ficción,Le encantan las películas de ciencia ficción.,He loves science fiction movies.,,
533,la computación,Estudia computación en la universidad.,She studies computer science at university.,,
534,el rescate,El equipo de rescate llegó rápidamente al lugar del accidente.,The rescue team arrived quickly at the accident site.,,
535,el envase,Reciclamos el envase de plástico después de usarlo.,We recycle the plastic container after using it.,,
536,la informática,Trabaja en el departamento de informática de la empresa.,He works in the company's computing department.,,
537,el requisito,Cumplir con este requisito es obligatorio para el puesto.,Meeting this requirement is mandatory for the position.,,
538,el campamento,Los niños fueron a un campamento de verano.,The kids went to a summer camp.,,
539,el consumidor,La empresa escucha las quejas del consumidor.,The company listens to consumer complaints.,,
540,elaborar,Elaboraremos una nueva estrategia el próximo trimestre.,We will develop a new strategy next quarter.,Indicativo,Futuro
541,la aspirante,La aspirante tuvo una entrevista excelente.,The applicant had an excellent interview.,,
542,el ascenso,Recibió un ascenso después de cinco años en la empresa.,He received a promotion after five years at the company.,,
543,el descubrimiento,El descubrimiento del nuevo fósil sorprendió a los científicos.,The discovery of the new fossil surprised scientists.,,
544,el retraso,Hubo un retraso de dos horas en el vuelo.,There was a two-hour delay on the flight.,,
545,la indígena,La comunidad indígena conserva sus tradiciones antiguas.,The indigenous community preserves its ancient traditions.,,
546,el árbitro,El árbitro sacó tarjeta roja al jugador.,The referee showed the player a red card.,,
547,el diseñador,El diseñador presentó su nueva colección de ropa.,The designer presented his new clothing collection.,,
548,el préstamo,Pidieron un préstamo al banco para comprar la casa.,They took out a loan from the bank to buy the house.,,
549,desigualdad,La desigualdad económica sigue siendo un gran problema.,Economic inequality remains a big problem.,,
550,el ayuntamiento,El ayuntamiento aprobó el nuevo parque.,The city council approved the new park.,,
551,pedir prestado,Pedirás prestado el proyector para la presentación.,You will borrow the projector for the presentation.,Indicativo,Futuro
552,el malentendido,Todo fue un malentendido entre nosotros.,It was all a misunderstanding between us.,,
553,empatar,Empatarán si nadie anota en el último minuto.,They will tie if no one scores in the last minute.,Indicativo,Futuro
554,presumido,Es demasiado presumido con su nuevo coche.,He's too conceited about his new car.,,
555,la inundación,La inundación destruyó varias casas del pueblo.,The flood destroyed several houses in the town.,,
556,la sabiduría,Sus palabras reflejan mucha sabiduría.,His words reflect great wisdom.,,
557,el calentamiento global,El calentamiento global está derritiendo los glaciares.,Global warming is melting the glaciers.,,
558,adelgazar,Adelgazarás si sigues esta dieta.,You will lose weight if you follow this diet.,Indicativo,Futuro
559,aplaudir,Aplaudirán con entusiasmo la presentación.,They will applaud the presentation enthusiastically.,Indicativo,Futuro
560,el aficionado,Es un gran aficionado del fútbol.,He's a huge soccer fan.,,
561,la sequía,La sequía afectó las cosechas de este año.,The drought affected this year's harvests.,,
562,el título,Todavía no decidí el título de mi tesis.,I still haven't decided on the title of my thesis.,,
563,el océano,El océano Pacífico es el más grande del mundo.,The Pacific Ocean is the largest in the world.,,
564,adolescencia,"Durante la adolescencia, los cambios físicos son constantes.","During adolescence, physical changes are constant.",,
565,grave,El paciente sufrió una lesión grave en el accidente.,The patient suffered a serious injury in the accident.,,
